id;cart_id;courier_id;restaurant_id;delivery_time;pickup_time
1;61666;21814;10451;2023-04-08T22:35:29;2023-04-08T09:22:45
2;27501;45664;81334;2023-04-08T12:54:03;2023-04-08T20:02:00
3;53650;79159;62791;2023-04-08T22:23:08;2023-04-08T14:55:22
4;48081;76262;74952;2023-04-08T09:38:11;2023-04-08T16:34:57
5;52725;64976;21778;2023-04-08T17:44:50;2023-04-09T02:44:38
6;28247;25101;2627;2023-04-08T22:05:47;2023-04-08T08:41:51
7;90201;60274;24832;2023-04-08T20:08:50;2023-04-09T03:27:00
8;88205;21314;18989;2023-04-08T23:02:39;2023-04-08T16:49:50
9;277;45461;87386;2023-04-08T10:22:46;2023-04-08T11:53:05
10;55946;93596;48362;2023-04-08T17:02:36;2023-04-08T16:38:44
