id;name;description;location;cooperative_id
1;initiative;Riel projection Rubber;Tunisian connect embrace;36185
2;Spring;Agent Unbranded;Regional;79067
3;Account Mouse Web;SMTP Computer e-commerce;Republic;54475
4;Producer;alliance Bedfordshire Planner;transmit Global transitional;88759
5;deliver;Handcrafted;Assistant CSS Garden;55559
6;Arizona revolutionize South;Avon architectures compress;Cedi leverage Plastic;9518
7;deposit connect;transmitting Global;maroon Euro;42010
8;CSS Frozen Shoes;Producer payment;system;79479
9;Tuna white;leverage;convergence TCP;99784
10;Cheese;Som;invoice;80311
